experiment_name,experiment_key,series,hidden_dims,norm,dropout,activation,optimizer,lr,weight_decay,scheduler,batch_size,num_epochs,seed,test_loss,test_mae,test_rmse,test_mape,test_r2
mlp__norm-layer__d0.3__512-256-128__adam__lr0.001,7fececad266d408e8c64fb39b3a49fc6,norm,512-256-128,layer,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.21705109377702078,21305.947265625,36443.599383156434,37.72147750854492,0.6904543042182922
mlp__norm-batch__d0.5__512-256-128__adam__lr0.001,23c2181f1a844bdea66d438161678aa9,dropout,512-256-128,batch,0.5,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.23241252452135086,22184.869140625,37445.777332030375,40.051631927490234,0.6656005382537842
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,3f13890ca8b24904b860f09c45b72a35,norm,512-256-128,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.2381582980354627,22251.947265625,37559.464106933156,40.05543899536133,0.6624680757522583
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,4b252cc4b6404d68ba357b0345e7cbe2,dropout,512-256-128,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.2381582980354627,22251.947265625,37559.464106933156,40.05543899536133,0.6624680757522583
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,e5d727dc326b41f1825326628b897323,lr,512-256-128,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.2381582980354627,22251.947265625,37559.464106933156,40.05543899536133,0.6624680757522583
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,26c10b87c7f04378926ece241edc038a,depth,512-256-128,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.2381582980354627,22251.947265625,37559.464106933156,40.05543899536133,0.6624680757522583
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,06ffe3c2764a40ebb566b10333165ff5,optimizer,512-256-128,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.2381582980354627,22251.947265625,37559.464106933156,40.05543899536133,0.6624680757522583
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001__noscheduler,c30e15b12c90456eac802ee47aecc42b,lr,512-256-128,batch,0.3,relu,adam,0.001,0.0,none,256,100,42,0.23380076636870703,22316.40625,37619.26825444642,39.86002731323242,0.6700537204742432
mlp__norm-batch__d0.3__1024-512-256__adam__lr0.001,c39e346c9699450ab9bcfeca6e63c899,depth,1024-512-256,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.2480884144703547,22643.96875,39532.948486041365,41.04640579223633,0.6522513628005981
mlp__norm-batch__d0.3__512-256-128__adam__lr0.01,addec8e32c244c48a1d7c9b805b62da6,lr,512-256-128,batch,0.3,relu,adam,0.01,0.0,ReduceLROnPlateau,256,100,42,0.24750114977359772,22721.15234375,40146.89666711488,41.29364013671875,0.6539931297302246
mlp__norm-batch__d0.1__512-256-128__adam__lr0.001,a8cbad2909984078bf3cac6951cf2662,dropout,512-256-128,batch,0.1,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.25518526633580524,22983.736328125,39666.123380032994,41.76251983642578,0.6348777413368225
mlp__norm-batch__d0.0__512-256-128__adam__lr0.001,9d8e0ff9c79f4db190a49ade3a95b958,dropout,512-256-128,batch,0.0,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.27291198323170346,23170.376953125,38581.54916537178,41.991539001464844,0.6165798902511597
mlp__norm-batch__d0.3__512-256-128__adamw__lr0.001,0bb3deb89c0940efabab27d962a7404e,optimizer,512-256-128,batch,0.3,relu,adamw,0.001,0.01,ReduceLROnPlateau,256,100,42,0.243290513753891,23561.20703125,41881.98581729381,42.68174743652344,0.6521275639533997
mlp__norm-batch__d0.3__512-256__adam__lr0.001,83b0dff0bea64bc5b86ad1ddead937d3,depth,512-256,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.3233323444922765,26336.091796875,46986.704502444096,42.56009292602539,0.5352953672409058
mlp__norm-batch__d0.3__512-256-128__adam__lr0.0001,bfbb6d8dfc08445f9ac195bc75bdc94b,lr,512-256-128,batch,0.3,relu,adam,1.0E-4,0.0,ReduceLROnPlateau,256,100,42,0.42597369352976483,28561.564453125,48260.36319797023,41.15572738647461,0.38659775257110596
mlp__norm-batch__d0.3__512-256-128__sgd__lr0.001,21b786d207bb4dde8189823f88787a01,optimizer,512-256-128,batch,0.3,relu,sgd,0.001,0.0,ReduceLROnPlateau,256,100,42,0.41243388255437213,29869.466796875,47766.262905946496,44.23845672607422,0.4001436233520508
mlp__norm-none__d0.3__512-256-128__adam__lr0.001,6baf96a7ccb4425b88981085e9b0118f,norm,512-256-128,none,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.5002228617668152,34900.24609375,75551.7323163407,55.3375244140625,0.29931706190109253
mlp__norm-batch__d0.3__256__adam__lr0.001,8748e73887d446a5bd213edc3a9c3c27,depth,256,batch,0.3,relu,adam,0.001,0.0,ReduceLROnPlateau,256,100,42,0.52565931280454,37841.03125,79377.14975986477,62.56291198730469,0.2527257204055786
